Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,Paga_Dividendos,Tamanio_Empresa,Valuacion_PE
CPB,Campbell Soup Company,Packaged Foods & Meats,23.17,11.357843,0.0673,2.04,19.56,34.17,6909438464.0,1704999936.0,0.69595474,1.7141377,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPB,Sí,Mid Cap,Subvalorada
COF,Capital One,Consumer Finance,227.34,12.532525,0.0141,18.14,174.24,259.64,139473092608.0,,2.899046,1.354351,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COF,Sí,Large Cap,Subvalorada
CAH,Cardinal Health,Health Care Distributors,235.17,32.57202,0.0088,7.22,145.87,258.3,54694834176.0,4244000000.0,0.21512395,-19.006708,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAH,Sí,Large Cap,Sobrevalorada
KMX,CarMax,Automotive Retail,59.92,37.21739,0.0,1.61,30.26,62.56,8503312896.0,1031401024.0,0.30156255,1.3897393,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMX,No,Mid Cap,Sobrevalorada
CCL,Carnival,"Hotels, Resorts & Cruise Lines",28.12,12.666667,0.016,2.22,23.45,34.03,38514536448.0,7302000128.0,1.4102207,2.9750319,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCL,Sí,Large Cap,Subvalorada
CARR,Carrier Global,Building Products,62.78,44.842857,0.0152,1.4,50.24,76.76,52143837184.0,3092999936.0,2.3585958,3.939755,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CARR,Sí,Large Cap,Sobrevalorada
CAT,Caterpillar Inc.,Construction Machinery & Heavy Transportation Equipment,856.57,36.905216,0.0076,23.21,405.46,1073.46,393743728640.0,16250999808.0,5.268955,20.301235,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAT,Sí,Large Cap (Mega),Sobrevalorada
CBOE,Cboe Global Markets,Financial Exchanges & Data,296.14,23.099846,0.0116,12.82,227.15,371.18,30926202880.0,1930700032.0,6.1103277,5.503745,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBOE,Sí,Large Cap,Neutral
CBRE,CBRE Group,Real Estate Services,152.86,34.979404,0.0,4.37,121.69,174.27,44264480768.0,2214000128.0,1.0126623,5.2757645,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBRE,No,Large Cap,Sobrevalorada
CDW,CDW,Technology Distributors,139.42,16.757212,0.0181,8.32,97.12,171.55,17429929984.0,2010899968.0,0.7416865,7.153412,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDW,Sí,Large Cap,Neutral
CE,Celanese,Specialty Chemicals,45.66,,0.0026,-10.59,35.13,70.7,5011136000.0,1712000000.0,0.5159736,1.20256,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CE,Sí,Mid Cap,Sin P/E (Pérdidas)
COR,Cencora,Health Care Distributors,313.82,23.315008,0.0076,13.46,244.82,377.54,59885383680.0,5546476032.0,0.17995957,19.628471,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COR,Sí,Large Cap,Neutral
CNC,Centene Corporation,Managed Health Care,67.47,,0.0,-10.36,28.24,69.36,33329844224.0,4606000128.0,0.1848536,1.4772404,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNC,No,Large Cap,Sin P/E (Pérdidas)
CNP,CenterPoint Energy,Multi-Utilities,40.83,24.303574,0.0237,1.68,36.6,45.26,26895548416.0,3854000128.0,2.7957952,2.2947228,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNP,Sí,Large Cap,Neutral
CF,CF Industries,Fertilizers & Agricultural Chemicals,118.3,8.782479,0.0203,13.47,75.42,141.96,17903300608.0,3872999936.0,2.313387,3.1199727,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CF,Sí,Large Cap,Subvalorada
CRL,Charles River Laboratories,Life Sciences Tools & Services,280.05,,0.0,-4.82,144.26,288.02,13369270272.0,849118016.0,3.3431642,4.707039,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CRL,No,Large Cap,Sin P/E (Pérdidas)
SCHW,Charles Schwab Corporation,Investment Banking & Brokerage,111.09,20.234972,0.0116,5.49,83.96,111.18,192111886336.0,,7.3818207,4.369665,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SCHW,Sí,Large Cap,Neutral
CHTR,Charter Communications,Cable & Satellite,154.27,4.014312,0.0,38.43,111.55,285.82,20792123392.0,21814999040.0,0.38223627,1.0854759,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHTR,No,Large Cap,Subvalorada
CVX,Chevron Corporation,Integrated Oil & Gas,200.0,19.23077,0.0356,10.4,146.49,214.71,392320679936.0,50661998592.0,1.8736899,2.0661156,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVX,Sí,Large Cap (Mega),Neutral
CMG,Chipotle Mexican Grill,Restaurants,33.5,31.018517,0.0,1.08,28.04,44.27,42391502848.0,2275020032.0,3.4121318,19.308357,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMG,No,Large Cap,Sobrevalorada
CB,Chubb Limited,Property & Casualty Insurance,343.64,12.181497,0.0119,28.21,265.3,365.91,132576272384.0,14883000320.0,2.1419199,1.7581991,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CB,Sí,Large Cap,Subvalorada
CHD,Church & Dwight,Household Products,101.3,32.467953,0.0121,3.12,81.33,106.04,24028755968.0,1354800000.0,3.8575003,5.524953,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHD,Sí,Large Cap,Sobrevalorada
CI,Cigna,Health Care Services,282.56,11.68086,0.0224,24.19,239.51,315.47,74663788544.0,12757999616.0,0.26440704,1.748266,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CI,Sí,Large Cap,Subvalorada
